filename,width,height,class,xmin,ymin,xmax,ymax
1.png,1130,668,person,873,205,949,383
12.png,1130,668,person,940,292,1042,465
13.png,1130,668,person,995,294,1083,466
14.png,1130,668,person,25,313,110,471
14.png,1130,668,person,1073,283,1130,419
14.png,1130,668,person,1082,197,1126,277
17.png,1130,668,person,317,316,403,470
2.png,1130,668,person,626,213,704,403
20.png,1130,668,person,961,245,1033,407
20.png,1130,668,person,1080,186,1123,308
21.png,1130,668,person,264,305,345,489
21.png,1130,668,person,751,265,840,432
21.png,1130,668,person,1007,195,1049,261
22.png,1130,668,person,680,281,749,459
22.png,1130,668,person,1058,278,1128,449
22.png,1130,668,person,994,195,1036,254
23.png,1130,668,person,667,316,740,467
23.png,1130,668,person,701,284,764,412
23.png,1130,668,person,828,295,903,459
23.png,1130,668,person,251,309,334,475
23.png,1130,668,person,999,195,1043,260
24.png,1130,668,person,279,318,346,486
24.png,1130,668,person,594,295,658,475
24.png,1130,668,person,690,285,765,465
24.png,1130,668,person,1004,194,1045,255
25.png,1130,668,person,467,294,552,480
25.png,1130,668,person,693,284,765,463
27.png,1130,668,person,449,300,536,477
27.png,1130,668,person,691,283,757,430
27.png,1130,668,person,742,312,826,460
29.png,1130,668,person,253,311,341,468
29.png,1130,668,person,676,293,758,481
29.png,1130,668,person,879,230,958,389
3.png,1130,668,person,73,310,151,478
3.png,1130,668,person,310,237,405,427
30.png,1130,668,person,228,312,318,517
30.png,1130,668,person,564,244,625,413
30.png,1130,668,person,658,301,743,489
31.png,1130,668,person,235,315,324,518
31.png,1130,668,person,430,280,492,458
31.png,1130,668,person,595,301,681,499
34.png,1130,668,person,237,311,323,481
34.png,1130,668,person,413,307,485,514
34.png,1130,668,person,539,304,633,510
42.png,1130,668,person,287,356,394,616
42.png,1130,668,person,453,354,557,635
42.png,1130,668,person,616,356,725,625
43.png,1130,668,person,322,374,450,666
43.png,1130,668,person,515,397,638,663
43.png,1130,668,person,619,380,733,668
43.png,1130,668,person,932,474,1113,665
43.png,1130,668,person,997,196,1046,267
47.png,1130,668,person,571,293,655,557
47.png,1130,668,person,1078,201,1119,299
50.png,1130,668,person,658,256,722,455
51.png,1130,668,person,848,234,928,412
FudanPed00001.png,559,536,person,160,182,302,431
FudanPed00001.png,559,536,person,420,171,535,486
FudanPed00002.png,455,414,person,68,93,191,380
FudanPed00003.png,479,445,person,293,135,447,421
FudanPed00004.png,396,397,person,168,60,324,338
FudanPed00004.png,396,397,person,9,61,48,180
FudanPed00005.png,335,344,person,188,59,320,336
FudanPed00005.png,335,344,person,2,53,40,158
FudanPed00006.png,385,426,person,208,108,346,385
FudanPed00006.png,385,426,person,2,108,87,384
FudanPed00007.png,539,381,person,112,69,218,346
FudanPed00007.png,539,381,person,378,76,529,377
FudanPed00007.png,539,381,person,317,108,347,192
FudanPed00008.png,388,454,person,228,158,370,436
FudanPed00008.png,388,454,person,39,179,115,363
FudanPed00009.png,465,441,person,306,138,453,430
FudanPed00009.png,465,441,person,157,124,298,398
FudanPed00010.png,411,393,person,281,90,401,374
FudanPed00011.png,459,420,person,278,112,438,394
FudanPed00012.png,468,384,person,159,71,295,361
FudanPed00012.png,468,384,person,328,58,439,327
FudanPed00013.png,652,498,person,389,193,554,476
FudanPed00014.png,456,383,person,234,86,405,367
